surname,firstname,ln.gross,yob,female,margin,school,party
Llewellyn,David,12.13590622,1916,0,0.056904044,Eton,Conservative
Morris,Claud,12.44809055,1920,0,-0.049738325,Regular,Labour
Walker,George,12.42844963,1914,0,-0.041588679,Public,Conservative
Walker,Harold,11.91845226,1927,0,0.02329524,Regular,Labour
Waring,John,13.52021885,1923,0,-0.230005816,Public,Conservative
Brown,Ronald,12.46051502,1921,0,0.367970258,Regular,Labour
Pine,Leslie,11.98583603,1907,0,-0.072641052,Public,Conservative
Pink,Bonner,11.6340313,1912,0,0.21294491,Public,Conservative
Webster,Reginald,12.51625443,1905,0,-0.01446593,Regular,Conservative
Ridley,Jasper,14.66086197,1920,0,-0.130096912,Regular,Labour
Underhill,Michael,12.55596924,1918,0,-0.054886274,Public,Conservative
Roberts,Thomas,11.08812904,1915,0,-0.035208959,Regular,Labour
Roberts,Gwilym,11.86298656,1928,0,0.058464177,Regular,Labour
Roberts,Shelagh,13.69424057,1924,1,-0.301682472,Public,Conservative
Roberts,Gordon,12.43200874,1921,0,-0.139704719,Regular,Labour
Coles,Gerald,11.46880245,1933,0,-0.07340128,Public,Conservative
Grant,William,12.13590622,1909,0,0.121591456,Public,Conservative
Grant,John,12.71802616,1932,0,0.234982327,Public,Labour
Rees,Robert,12.00744343,1911,0,-0.058776647,Regular,Labour
Cryer,Robert,12.47742271,1934,0,-0.098551802,Regular,Labour
Horne,Hampden,11.94882679,1903,0,-0.168305665,Public,Labour
Bidgood,John,12.78876209,1914,0,0.071530789,Public,Conservative
Fidler,Michael,13.15902996,1916,0,0.056820601,Regular,Conservative
Faulds,Andrew,12.44809055,1923,0,0.10295593,Regular,Labour
Greene,Royden,12.42844963,1917,0,-0.088293843,Public,Conservative
McWhirter,Norris,15.03261662,1925,0,-0.033458475,Public,Conservative
Bourne-Arton,Anthony,12.84560013,1913,0,0.088195361,Public,Conservative
Baker,Wilfred,12.44809055,1920,0,0.21129857,Public,Conservative
Baker,Douglas,11.37770844,1931,0,-0.097068436,Regular,Labour
Stone,Frank,11.83968353,1905,0,-0.155972794,Regular,Labour
Berkeley,Humphry,12.70203972,1926,0,0.153393641,Public,Conservative
Lee,Edwin,12.25040054,1911,0,-0.293753356,Public,Conservative
Dilks,John,12.84288406,1933,0,-0.188053504,Regular,Labour
Read,George,12.48967361,1937,0,-0.079581171,Public,Labour
Cowling,Maurice,12.59795475,1926,0,-0.160563737,Regular,Conservative
Jenkin-Jones,Peter,14.22256851,1928,0,-0.038212713,Public,Conservative
Irving,Sydney,12.31218815,1918,0,0.088085949,Public,Labour
Torney,Thomas,12.44373798,1915,0,0.043249868,Regular,Labour
Hindle,John,12.08924484,1920,0,-0.247255087,Regular,Labour
Tinn,James,12.42844963,1922,0,0.069758371,Regular,Labour
Davis,James,12.54927731,1928,0,-0.082747735,Public,Conservative
Grundy,Colin,12.09625626,1926,0,-0.003313639,Regular,Labour
Goodwin,Harry,13.83508396,1909,0,-0.065891661,Public,Conservative
Reeves,Kenneth,12.40266132,1932,0,-0.11689318,Regular,Conservative
Ennals,John,12.73641682,1918,0,-0.053052835,Regular,Labour
Monks,Constance,11.83859825,1911,1,0.029819164,Regular,Conservative
Normanton,Tom,12.18284035,1917,0,0.020451471,Regular,Conservative
Clippingdale,Harold,12.1201086,1908,0,-0.191514865,Public,Conservative
Pearson-Clarke,Anthony,12.14628029,1923,0,-0.139503628,Regular,Labour
Hurst,Eric,15.88568974,1914,0,-0.021468319,Regular,Labour
Havers,Michael,12.13590622,1923,0,0.235448435,Public,Conservative
Williamson,Muriel,12.5872879,1904,1,-0.031723361,Regular,Conservative
Bell,Brian,15.68696022,1921,0,-0.040410206,Regular,Conservative
Bell,David,12.17262554,1926,0,-0.018391639,Public,Conservative
Foord,John,11.99850845,1909,0,-0.011575436,Regular,Labour
Bradley,Thomas,13.25766373,1926,0,0.098769501,Regular,Labour
Lawn,William,11.30337048,1907,0,-0.084759995,Regular,Labour
Carter-Jones,Lewis,12.5811882,1920,0,0.146884412,Regular,Labour
Larrow,Dennis,11.34424496,1920,0,-0.094972491,Regular,Conservative
Leach,Robin,14.89271545,1938,0,-0.220049113,Public,Conservative
Brum,Robert,11.15843201,1924,0,-0.039678264,Public,Conservative
Shearer,William,12.37208652,1910,0,-0.485874563,Regular,Conservative
Keigwin,Timothy,12.45554733,1921,0,-0.008609426,Public,Conservative
Johnston,Robert,13.03167629,1918,0,-0.058093488,Public,Conservative
Beaumont,Christopher,12.55333805,1926,0,-0.165521011,Public,Labour
Griffith,Huw,12.37208652,1930,0,-0.062366772,Public,Conservative
Bassett,Philip,12.59795475,1931,0,-0.112112932,Regular,Labour
Gurden,Harold,13.37553024,1903,0,0.149906307,Regular,Conservative
Moeran,Edward,12.37208652,1903,0,0.034369998,Public,Labour
Manley,Roy,12.55840302,1930,0,-0.167965293,Public,Labour
Insley,Noel,12.59795475,1922,0,-0.022152351,Regular,Labour
Tucker,Geoffrey,12.93239594,1925,0,-0.18558602,Regular,Conservative
Unsworth,Cyril,12.2629509,1925,0,-0.108873151,Public,Conservative
Wegg-Prosser,Charles,11.6527319,1910,0,-0.191152573,Public,Labour
Attlee,Christopher,12.0808363,1915,0,-0.12924397,Public,Labour
Russell,Dorothy,11.78296089,1895,1,-0.116642848,Regular,Conservative
Russell,Conrad,13.00191498,1937,0,-0.067679755,Eton,Labour
Barber,Anthony,11.94604778,1920,0,0.007737879,Regular,Conservative
Edmonds,Richard,11.81514454,1910,0,-0.143551365,Public,Labour
Benenson,Peter,13.02210999,1921,0,-0.01863762,Eton,Labour
King,Horace,12.51008701,1901,0,0.026501564,Regular,Labour
Derbyshire,William,12.44809055,1913,0,-0.148557678,Regular,Conservative
Hooker,Michael,13.29814243,1923,0,-0.123763181,Public,Conservative
Waite,Geoffrey,9.760890007,1925,0,-0.082264863,Public,Conservative
Thompson,Richard,14.03788757,1912,0,0.021801556,Public,Conservative
Thompson,Kenneth,11.84294128,1909,0,0.080306396,Regular,Conservative
Thompson,Frank,12.44809055,1938,0,-0.058526304,Regular,Labour
Crehan,Thomas,10.61162853,1919,0,-0.079055354,Regular,Labour
