commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,pop,pctforeign,eAdminhead,eEducationhead,eHospitalHealthInsurance,eHousinghead,eSocialhead,eTotalhead,eTraffichead,eUtilitieshead,lowincome,lowincome_rate,sd_share,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,totalseats,unemp_rate,unemployed,pct1565,crime_vtheft
Aabenraa,2004,51326,116,106,4.80921936,0,8,8,0,0,15588,1174,22041,0.053718071,4.469216347,7.517172337,0,0.543260276,28.47547722,41.5158577,0.930538535,-0.419808537,8523,0.386688441,0.380952388,0,0,3,1,0,6,0,8,0,1,1,0,1,21,0.038609862,851,0.707227468,222
Aabybro,2004,15907,33,12,1.060351729,0,2,2,0,0,7973,563,11317,0.022885924,3.741008997,9.275338173,0,0.746222496,20.39966393,34.31642532,0.808429778,-0.654236972,4101,0.3623752,0.294117659,0,0,0,0,0,9,0,5,0,2,0,0,1,17,0.043827869,496,0.704515338,45
Aalborg,2004,543531,789,584,3.577751875,0,35,35,1,6.13E-06,118579,7828,163231,0.046186078,4.296696186,8.443512917,0,0.94137758,26.79324341,40.14751053,0.901709855,-1.229031205,54986,0.336860031,0.387096763,0,1,3,2,0,9,0,12,1,3,0,0,0,31,0.04768702,7784,0.726449013,1373
Aalestrup,2004,16589,75,15,1.968245745,0,0,0,0,0,5096,508,7621,0.028998818,4.198005676,9.320036888,0,1.160346389,23.58128929,38.87849426,1.092507601,-0.473691106,2853,0.374360323,0.266666681,0,0,0,0,0,6,0,4,0,0,0,0,5,15,0.02755544,210,0.668678641,90
Aars,2004,24337,126,28,2.101786375,0,0,0,0,0,9067,768,13322,0.029349947,4.276910305,9.201170921,0,0.928539276,23.30198097,37.8949852,0.610944331,-0.424560875,5580,0.418856025,0.210526317,0,0,6,0,0,7,0,4,0,0,0,0,2,19,0.029425012,392,0.680603504,154
Aarup,2004,9339,35,3,0.55350554,0,0,0,0,0,3666,321,5420,0.026199263,4.935977936,9.367527962,0,0.975092232,24.30627251,40.02509308,1.051845074,-0.611623645,2222,0.409963101,0.333333343,0,0,2,1,0,5,0,5,1,0,0,0,1,15,0.025461255,138,0.676383793,38
Albertslund,2004,140094,227,164,5.754789829,2,5,3,0,0,21054,1800,28498,0.10586708,5.688118458,12.93308258,0,1.577198386,31.32402229,52.33700562,1.013229012,-0.198645517,11769,0.412976354,0.523809552,0,0,2,2,0,2,0,11,0,3,0,1,0,21,0.035581443,1014,0.738788664,391
Allerød,2004,25800,177,52,2.219850779,0,0,0,0,0,16190,1368,23425,0.033895411,4.965592384,10.86975479,0,0.921408772,19.58642387,37.07039642,1.032913566,-0.30569905,8946,0.381899685,0.142857149,0,0,6,0,0,6,0,3,1,4,0,0,1,21,0.018441835,432,0.691141963,229
Arden,2004,18143,27,15,1.755823493,0,0,0,1,0.000117055,5772,538,8543,0.025400912,3.884115696,9.421514511,0,0.418354213,23.34964371,37.34460831,0.827929318,-0.556947231,3313,0.387802869,0.466666669,0,0,0,0,0,5,0,7,0,0,0,0,3,15,0.034648251,296,0.675640881,42
Assens,2004,33662,43,48,4.438280106,0,2,2,0,0,7388,591,10815,0.037263062,4.654646397,8.555247307,0,0.787702262,28.45853043,42.78881073,0.726490974,-0.393804908,4340,0.4012945,0.466666669,0,0,2,1,0,5,0,7,0,0,0,0,0,15,0.03809524,412,0.683125317,91
Augustenborg,2004,8494,10,16,2.423141003,0,0,0,0,0,4547,347,6603,0.026805997,4.404967308,8.769195557,0,0.660608828,20.13554382,34.57458878,1.134635806,-0.53036499,2412,0.365288496,0.307692319,0,0,2,0,0,4,0,4,0,0,0,0,3,13,0.020899592,138,0.688626409,26
