age,male,income,white,college,usborn,treatment,partisanship,immigration_after
31,0,135000,1,1,1,1,3,2
34,0,105000,1,1,0,1,4,4
63,1,135000,1,1,1,1,2,3
45,1,300000,1,1,1,1,4,3
55,1,135000,1,1,1,0,2,4
37,0,87500,1,1,1,1,5,3
64,0,135000,1,0,1,1,NA,NA
53,0,87500,1,0,1,0,5,2
36,1,135000,1,1,1,1,4,3
54,0,105000,1,0,1,0,3,2
42,1,135000,1,1,1,1,4,3
33,0,105000,1,1,NA,0,3,3
50,1,250000,1,1,1,1,4,3
24,1,105000,1,1,1,1,4,1
40,1,62500,1,1,1,0,1,3
53,1,300000,1,1,1,0,2,4
50,0,105000,0,1,0,1,3,3
33,0,135000,1,1,0,1,3,3
33,1,250000,0,1,0,1,1,3
32,0,NA,1,1,1,1,2,4
57,0,135000,1,1,1,1,5,1
41,0,62500,1,0,1,1,2,3
36,0,105000,1,1,1,1,2,2
43,1,135000,1,1,1,0,3,3
25,0,62500,1,1,1,1,2,3
41,1,250000,1,1,0,0,2,4
33,0,105000,1,1,1,0,2,3
44,1,62500,1,NA,1,0,1,4
46,1,250000,1,1,1,0,4,4
41,0,135000,0,1,1,0,4,1
28,0,105000,1,1,1,0,3,3
36,1,135000,1,1,1,0,2,4
37,1,105000,1,1,1,0,4,4
38,1,87500,0,1,0,1,2,3
48,1,42500,1,1,1,0,3,4
43,1,135000,1,1,1,1,2,NA
20,0,135000,1,1,0,1,1,2
52,0,105000,1,1,1,0,1,3
38,1,87500,1,1,0,0,1,4
45,1,250000,1,1,1,0,2,4
55,0,105000,1,1,1,0,3,3
38,0,87500,1,1,1,0,1,4
45,0,135000,1,1,1,0,2,5
44,1,300000,1,1,1,0,3,3
36,1,135000,1,1,0,1,2,3
29,0,42500,0,1,0,1,4,1
42,1,62500,0,1,0,1,2,3
43,0,135000,1,1,1,0,2,3
54,0,105000,1,1,1,1,1,3
39,1,135000,1,1,1,1,3,3
31,1,135000,1,1,0,0,3,3
50,1,135000,1,1,1,0,3,3
60,0,87500,1,0,1,0,2,3
67,1,135000,1,1,1,0,2,2
54,0,135000,1,1,1,0,3,5
44,0,250000,0,1,1,0,2,3
50,0,175000,1,1,1,1,3,2
20,1,135000,1,0,1,0,2,2
57,1,105000,1,1,1,0,1,5
25,0,135000,0,1,1,1,2,3
60,1,250000,1,1,1,1,2,3
44,1,62500,1,0,1,1,5,2
39,1,62500,0,1,0,0,NA,NA
35,0,87500,1,1,1,1,2,3
54,1,135000,1,1,1,1,2,4
52,1,135000,1,1,0,1,3,3
47,1,300000,1,1,1,1,5,5
60,1,105000,1,1,1,0,2,4
47,1,300000,1,1,1,0,4,4
22,1,42500,1,1,1,0,2,4
56,0,250000,1,0,1,1,2,3
49,1,87500,1,1,1,1,4,NA
50,1,87500,1,1,0,1,2,3
21,1,135000,1,1,1,0,3,1
29,0,250000,1,1,1,0,2,4
45,1,300000,1,1,1,0,5,5
46,1,135000,0,1,0,1,1,3
42,1,135000,1,1,1,0,4,3
23,1,135000,1,1,1,1,3,3
29,1,62500,1,0,1,0,3,1
60,0,135000,1,0,1,0,1,4
41,0,135000,1,1,1,0,1,4
30,0,135000,1,1,1,0,2,3
49,0,300000,1,1,1,0,NA,NA
61,1,135000,1,1,1,0,4,3
21,0,135000,1,1,1,0,3,4
46,1,250000,1,1,1,0,4,3
53,1,250000,1,1,1,1,4,2
52,0,250000,1,1,0,0,2,4
45,1,87500,1,1,1,0,3,3
46,1,250000,1,1,1,0,3,3
33,1,300000,1,1,1,1,NA,NA
63,1,250000,1,1,1,0,4,3
21,0,250000,1,1,1,0,5,4
31,1,87500,1,1,1,0,2,3
35,0,105000,1,1,1,1,4,2
22,0,135000,1,1,1,0,3,3
68,0,62500,1,1,1,0,2,3
27,1,105000,1,0,1,1,2,3
22,1,105000,1,1,1,1,2,4
30,0,62500,1,1,0,1,3,4
59,1,62500,1,0,1,1,3,3
56,0,62500,1,1,1,0,2,3
32,0,42500,1,1,1,1,4,1
35,0,62500,1,1,1,1,3,3
23,1,300000,1,1,1,0,3,5
60,1,135000,0,1,0,0,2,3
50,1,250000,1,1,1,0,5,3
31,1,62500,1,0,1,1,2,3
43,0,300000,1,1,1,1,1,3
30,0,105000,1,1,1,1,3,2
54,1,105000,1,1,1,0,3,3
52,0,105000,1,0,1,1,4,3
52,1,23500,1,1,1,0,1,3
50,0,62500,1,1,1,0,4,1
37,1,87500,1,1,0,1,3,4
27,1,105000,0,1,0,1,2,3
55,0,250000,0,1,1,0,4,3
42,1,87500,0,0,1,0,3,3
68,1,300000,1,1,1,0,3,3
52,0,135000,1,1,1,0,2,3
32,1,135000,1,1,1,0,NA,NA
50,0,135000,1,1,1,1,2,5
