"","poll_id","state","state.name","pollster","numeric_grade","end_date","sample_size","population","DEM","REP","days.until"
"1",74706,"MO","Missouri","Remington",2.6,2021-04-22,933,"lv",38,53,1293
"2",74928,"NH","New Hampshire","St. Anselm",2.4,2021-05-10,1267,"rv",51,43,1275
"3",75009,"AZ","Arizona","Bendixen & Amandi International",1,2021-06-23,600,"rv",51,44,1231
"4",75617,"FL","Florida","St. Pete Polls",2.4,2021-08-17,2068,"rv",48,47.4,1176
"5",75620,"FL","Florida","Susquehanna",2.3,2021-08-10,700,"rv",49.5,44.5,1183
"6",76282,"FL","Florida","The Political Matrix/The Listener Group",0.7,2021-09-12,911,"lv",55.2,44.8,1150
"7",76426,"MO","Missouri","Remington",2.6,2021-09-20,1014,"lv",36,55,1142
"8",76752,"FL","Florida","Victory Insights",1.3,2021-09-18,450,"lv",50.575,49.425,1144
"9",77034,"IA","Iowa","Cygnal",2.1,2021-10-19,600,"lv",40.5,54.1,1113
"10",77173,"WI","Wisconsin","Marquette Law School",3,2021-10-31,805,"rv",45,41,1101
"11",77529,"IA","Iowa","Selzer",2.8,2021-11-10,658,"lv",40,51,1091
"12",77828,"AZ","Arizona","Fabrizio",1.7,2021-11-16,600,"lv",43,51,1085
"13",77829,"GA","Georgia","Fabrizio",1.7,2021-11-16,600,"lv",45,48,1085
"14",77830,"MI","Michigan","Fabrizio",1.7,2021-11-16,600,"lv",41,53,1085
"15",77831,"PA","Pennsylvania","Fabrizio",1.7,2021-11-16,600,"lv",45,51,1085
"16",77832,"WI","Wisconsin","Fabrizio",1.7,2021-11-16,600,"lv",42,52,1085
"17",78084,"NH","New Hampshire","Trafalgar Group",0.7,2021-12-12,1041,"lv",45.95,47.75,1059
"18",78368,"FL","Florida","Suffolk",2.9,2022-01-29,500,"lv",42.6,50.45,1011
"19",78428,"MI","Michigan","Blueprint Polling",2.4,2022-02-04,632,"lv",38.2,40.4,1005
"20",78477,"PA","Pennsylvania","Blueprint Polling",2.4,2022-02-16,635,"lv",45.1,39.9,993
"21",78514,"IA","Iowa","Cygnal",2.1,2022-02-22,610,"lv",38.4,52.5,987
"22",78550,"GA","Georgia","Blueprint Polling",2.4,2022-03-08,662,"lv",36.3,49.9,973
"23",78668,"NV","Nevada","Blueprint Polling",2.4,2022-03-24,671,"lv",34.2,44.1,957
"24",78773,"CO","Colorado","Blueprint Polling",2.4,2022-04-08,612,"rv",42.9,43.1,942
"25",78785,"NH","New Hampshire","Praecones Analytica",2,2022-04-16,503,"rv",35.5,52.8,934
"26",78972,"MO","Missouri","SurveyUSA",2.8,2022-05-15,1782,"rv",35,50,905
"27",78975,"CT","Connecticut","Emerson",2.9,2022-05-11,1000,"rv",50.8,38.1,909
"28",78994,"AZ","Arizona","Blueprint Polling",2.4,2022-05-16,608,"lv",40.8,40.7,904
"29",78997,"NC","North Carolina","East Carolina University",2.6,2022-05-20,635,"rv",37.2,46.4,900
"30",79146,"TX","Texas","Blueprint Polling",2.4,2022-06-10,603,"lv",38.3,44,879
"31",79159,"GA","Georgia","East Carolina University",2.6,2022-06-09,868,"rv",40.2,46.7,880
"32",79205,"MA","Massachusetts","U. Massachusetts - Lowell",2.9,2022-06-15,1000,"lv",60,31,874
"33",79206,"NH","New Hampshire","U. New Hampshire",2.6,2022-06-20,845,"lv",48,45,869
"34",79362,"NV","Nevada","Emerson",2.9,2022-07-10,2000,"rv",39.25,42.9,849
"35",79426,"IA","Iowa","Cygnal",2.1,2022-07-14,600,"lv",39.7,51.1,845
"36",79464,"PA","Pennsylvania","Blueprint Polling",2.4,2022-07-21,712,"lv",42,41,838
"37",79514,"MO","Missouri","SurveyUSA",2.8,2022-07-27,787,"lv",35,51,832
"38",79515,"PA","Pennsylvania","PEM Management Corporation",NA,2022-07-24,300,"lv",41.7,44.3,835
"39",79516,"GA","Georgia","PEM Management Corporation",NA,2022-07-24,300,"lv",40,48,835
"40",79517,"OH","Ohio","PEM Management Corporation",NA,2022-07-24,300,"lv",44,41.7,835
"41",79518,"NC","North Carolina","PEM Management Corporation",NA,2022-07-24,300,"lv",40.7,48,835
"42",79594,"CT","Connecticut","McLaughlin",0.5,2022-07-27,500,"lv",52.4,38.6,832
"43",79648,"NC","North Carolina","Blueprint Polling",2.4,2022-08-06,656,"lv",39,45,822
"44",79715,"NY","New York","McLaughlin",0.5,2022-08-09,600,"lv",52,40,819
"45",79727,"CO","Colorado","McLaughlin",0.5,2022-07-26,500,"lv",50.2,43.4,833
"46",79763,"OH","Ohio","Emerson",2.9,2022-08-16,925,"lv",38.9,52.5,812
"47",79788,"MI","Michigan","Blueprint Polling",2.4,2022-08-16,611,"lv",41.2,40.8,812
"48",79789,"WA","Washington","McLaughlin",0.5,2022-08-17,500,"lv",53.6,40.6,811
"49",79817,"NY","New York","SurveyUSA",2.8,2022-08-21,1046,"rv",49,29,807
"50",79848,"PA","Pennsylvania","Emerson",2.9,2022-08-23,1034,"lv",41.7,47.2,805
"51",79865,"CA","California","Probolsky Research",1.3,2022-08-09,900,"lv",55,38,819
"52",79879,"GA","Georgia","Emerson",2.9,2022-08-29,600,"lv",45.8,50.7,799
"53",79889,"SC","South Carolina","Blueprint Polling",2.4,2022-08-25,721,"lv",34,46,803
"54",80564,"MA","Massachusetts","Emerson",2.9,2022-09-08,708,"lv",54,33.7,789
"55",80570,"AZ","Arizona","Emerson",2.9,2022-09-07,627,"lv",41,44.2,790
"56",80572,"NY","New York","Emerson",2.9,2022-09-06,1000,"lv",52.6,37.4,791
"57",80588,"CT","Connecticut","Emerson",2.9,2022-09-09,1000,"lv",49,35.7,788
"58",80600,"AZ","Arizona","Echelon Insights",2.7,2022-09-07,773,"lv",43,45,790
"59",80601,"FL","Florida","Echelon Insights",2.7,2022-09-07,815,"lv",41.5,50,790
"60",80602,"GA","Georgia","Echelon Insights",2.7,2022-09-07,751,"lv",47,43.5,790
"61",80603,"KS","Kansas","Echelon Insights",2.7,2022-09-07,392,"lv",40,51,790
"62",80604,"LA","Louisiana","Echelon Insights",2.7,2022-09-07,506,"lv",34.5,48.5,790
"63",80605,"OH","Ohio","Echelon Insights",2.7,2022-09-07,831,"lv",40.5,47.5,790
"64",80606,"OK","Oklahoma","Echelon Insights",2.7,2022-09-07,522,"lv",29,58,790
"65",80607,"PA","Pennsylvania","Echelon Insights",2.7,2022-09-07,828,"lv",47,42.5,790
"66",80608,"SC","South Carolina","Echelon Insights",2.7,2022-09-07,600,"lv",40.5,46.5,790
"67",80609,"AR","Arkansas","Echelon Insights",2.7,2022-09-07,382,"lv",32,53.5,790
"68",80610,"RI","Rhode Island","Echelon Insights",2.7,2022-09-07,373,"lv",49,36.5,790
"69",80611,"TX","Texas","Echelon Insights",2.7,2022-09-07,813,"lv",42,46,790
"70",80612,"MS","Mississippi","Echelon Insights",2.7,2022-09-07,320,"lv",36.5,51.5,790
"71",80613,"MT","Montana","Echelon Insights",2.7,2022-09-07,409,"lv",35.5,45.5,790
"72",80617,"NC","North Carolina","East Carolina University",2.6,2022-09-10,1020,"lv",44.6,46.1,787
"73",80620,"NV","Nevada","Emerson",2.9,2022-09-10,1000,"lv",39.8,42.5,787
"74",80635,"NM","New Mexico","Emerson",2.9,2022-09-11,1000,"lv",47.4,40.5,786
"75",80659,"OH","Ohio","Emerson",2.9,2022-09-13,1000,"lv",39.05,49.1,784
"76",80666,"NH","New Hampshire","Emerson",2.9,2022-09-15,800,"lv",46.3,43.2,782
"77",80689,"MO","Missouri","SurveyUSA",2.8,2022-09-18,830,"rv",35,52,779
"78",80704,"WI","Wisconsin","Emerson",2.9,2022-09-18,860,"lv",44.8,44,779
"79",80710,"NC","North Carolina","Emerson",2.9,2022-09-16,1000,"lv",42,47,781
"80",80715,"FL","Florida","Suffolk",2.9,2022-09-18,500,"lv",43.2,49.05,779
"81",80717,"KS","Kansas","Emerson",2.9,2022-09-18,1000,"lv",35.7,51.5,779
"82",80745,"CO","Colorado","Emerson",2.9,2022-09-19,1000,"lv",45.8,36,778
"83",80746,"MI","Michigan","EPIC/MRA",1.9,2022-09-19,600,"lv",48,44,778
"84",80770,"ME","Maine","Emerson",2.9,2022-09-20,1164,"lv",50.9,40.1,777
"85",80817,"TX","Texas","Emerson",2.9,2022-09-22,1000,"lv",39.9,49.1,775
"86",80848,"IL","Illinois","Emerson",2.9,2022-09-23,1000,"lv",51,38.3,774
"87",80871,"PA","Pennsylvania","Emerson",2.9,2022-09-26,1000,"lv",44.9,45.9,771
"88",80872,"MO","Missouri","Emerson",2.9,2022-09-27,1160,"lv",37,51.4,770
"89",80905,"NC","North Carolina","SurveyUSA",2.8,2022-10-02,918,"rv",45,43,765
"90",80927,"OR","Oregon","Emerson",2.9,2022-10-01,796,"lv",50.2,40.5,766
"91",80928,"WA","Washington","Emerson",2.9,2022-10-01,782,"lv",49.4,38.7,766
"92",80962,"IA","Iowa","Cygnal",2.1,2022-10-04,600,"lv",40.8,51,763
