municipality,region,latitude,longitude,russian_lang,elev,dist_road,pop_density,dist_russia,rebel_violence
Katerynivka,Donetsk,47.69011,38.75174,0.2661,0.058309038,0.322097603,0.012898566,0.004655536,1
Vanyushkyne,Donetsk,47.25389,38.26988,0.461244444,0.174927114,0.081231731,0.016223006,0.010769679,0
Svistuny,Donetsk,47.72639,38.40694,0.447177778,0.285714286,0.058713417,0.015849296,0.057760194,0
Samiylove,Donetsk,47.25492,38.24353,0.4644,0.221574344,0.139771923,0.016223006,0.015045225,0
Urzuf,Donetsk,46.91562,37.09961,0.587866667,0.023323615,0.019367839,0.013302488,0.376880794,0
Novo-Voznesenovka,Luhansk,48.0575,39.83111,0.623277778,0.839650146,0.090694245,0.105199448,0.008902018,0
Kurakhivka,Donetsk,48.03069,37.37281,0.412433333,0.580174927,0.066984964,0.25320425,0.590596709,1
Kovske,Donetsk,47.23698,38.23959,0.4644,0.166180758,0.03304094,0.016216559,0.006024123,0
Kotlyarivske,Donetsk,47.47258,38.29102,0.201622222,0.204081633,0.115619514,0.01424001,0.004774892,0
Bilosarayska Kosa,Donetsk,46.90497,37.3466,0.775288889,0,0.29737455,0.013302488,0.247402406,0
Druzhkivka,Donetsk,48.63013,37.55259,0.387588889,0.294460641,0.339423862,0.081525816,0.736022025,1
Krasnopillya,Donetsk,48.98858,37.41287,0.200855556,0.373177843,0.136747928,0.01280105,0.633070836,0
Zvirove,Donetsk,48.25,37.13105,0.231833333,0.457725948,0.179086139,0.125398943,0.770697307,0
Zvanivka,Donetsk,48.81554,38.07615,0.113555556,0.183673469,0.11755167,0.013675658,0.62526617,0
Zuyivka,Donetsk,48.06056,38.25001,0.869144444,0.361516035,0.136899104,0.185578652,0.262763912,0
Zuhres,Donetsk,48.0114,38.26444,0.839688889,0.335276968,0.079876576,0.615880936,0.233859618,1
Zorynsk,Luhansk,48.41194,38.62361,0.458488889,0.772594752,0.176085088,0.046204684,0.33239517,1
Zorynivka,Luhansk,49.47443,40.02526,0.225744444,0.583090379,0.471353763,0.007890079,0.072220359,0
Zorino,Donetsk,47.45,37.51667,0.589611111,0.513119534,0.073495831,0.025781362,0.406786158,0
Zorykivka,Luhansk,49.3963,39.84056,0.095288889,0.332361516,0.073164133,0.007947846,0.096428206,0
Zori,Donetsk,47.36936,38.19755,0.192222222,0.087463557,0.057715784,0.011152706,0.027018605,1
Zoloti Prudy,Donetsk,48.73146,37.0242,0.112744444,0.501457726,0.022894437,0.009697943,0.869528866,1
Zolotoy Kolodez,Donetsk,48.53013,37.23558,0.097777778,0.416909621,0.301829443,0.009454298,0.816568969,0
Zolote,Luhansk,48.69264,38.51459,0.298255556,0.422740525,0.085478807,0.177006345,0.502322312,1
Zolotarivka,Donetsk,48.00497,38.18781,0.685244444,0.620991254,0.118108995,0.234481309,0.244996787,0
Zolota Nyva,Donetsk,47.79425,36.99047,0.262188889,0.355685131,0.036390094,0.010990025,0.746967243,0
Zolotarivka,Luhansk,48.87797,38.27219,0.206922222,0.513119534,0.054462005,0.016443633,0.603463848,0
Znamenivka,Donetsk,48.66569,36.72986,0.148833333,0.29154519,0.042520186,0.009035453,0.882910953,0
Znamenivka,Donetsk,47.43121,37.44371,0.537044444,0.498542274,0.156464249,0.025781362,0.445568221,0
Znamenka,Donetsk,48.85,37.36667,0.2108,0.355685131,0.176773312,0.01280105,0.71295284,0
Znamenka,Luhansk,48.74537,38.90657,0.646888889,0.227405248,0.020981548,0.023995524,0.42926219,0
Znamenka,Luhansk,48.46194,39.26056,0.425166667,0.206997085,0.154233289,0.194714248,0.240427452,0
Zlatoustivka,Donetsk,47.49058,37.32669,0.460266667,0.524781341,0.489922427,0.025781362,0.50638458,0
Cherkasskoye,Luhansk,48.58528,38.9375,0.536933333,0.163265306,0.090003531,0.023995524,0.401752664,1
Zhuravske,Luhansk,49.25767,40.07262,0.220777778,0.551020408,0.66772615,0.007947846,0.031277802,0
Zhuravlevka,Luhansk,48.22417,38.98389,0.637666667,0.935860058,0.304680958,0.010149507,0.201586283,0
Zhuravka,Donetsk,48.22527,37.36917,0.316111111,0.586005831,0.206859457,0.011367429,0.650039266,0
